,indices_behind_to_use_range,number_of_nearby_locations_to_use,hidden_layer_sizes,alpha,airlocation_id,nearby_airlocation_ids,prediction_type,error_results
0,"range(0, 1, 2)",1.0,"(24,)",0.001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 30.236440761993073, '24_ahead': 25.320826321723089, '35_ahead': 29.034042389796578, '13_ahead': 20.639658890193274, '2_ahead': 7.1925768274658592}"
1,"range(0, 1, 2)",1.0,"(24,)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.169730848521986, '24_ahead': 26.394935029724266, '35_ahead': 29.967977941915724, '13_ahead': 19.200846769357408, '2_ahead': 4.5084907983100253}"
2,"range(0, 1, 2)",1.0,"(24,)",0.0005,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 30.736830716303636, '24_ahead': 26.503950238162894, '35_ahead': 29.048383062825351, '13_ahead': 19.998475480957527, '2_ahead': 6.6055013476865971}"
3,"range(0, 1, 2)",1.0,"(24,)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.452287600406983, '24_ahead': 26.632729567085548, '35_ahead': 30.188534506439115, '13_ahead': 19.539713310234323, '2_ahead': 4.7980377392875537}"
4,"range(0, 1, 2)",1.0,"(24,)",0.0001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 30.898602819521972, '24_ahead': 25.533188205626335, '35_ahead': 29.302292954375417, '13_ahead': 20.075164302361294, '2_ahead': 7.0889068864925786}"
5,"range(0, 1, 2)",1.0,"(24,)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.281198228596146, '24_ahead': 26.170941219559392, '35_ahead': 29.820443292199148, '13_ahead': 19.283780290294068, '2_ahead': 5.2690497634591882}"
6,"range(0, 1, 2)",1.0,"(24,)",5e-05,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 30.005296648808294, '24_ahead': 25.811287105162979, '35_ahead': 29.050821874981899, '13_ahead': 18.982346131106297, '2_ahead': 8.0384262901303742}"
7,"range(0, 1, 2)",1.0,"(24,)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 33.374935951998616, '24_ahead': 26.262593945068925, '35_ahead': 29.948180236232453, '13_ahead': 19.157495416794855, '2_ahead': 6.0995251973298492}"
8,"range(0, 1, 2)",1.0,"(100,)",0.001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 27.485973634266582, '24_ahead': 23.790267401637941, '35_ahead': 25.140623967128196, '13_ahead': 18.283962857067575, '2_ahead': 6.2923828430422075}"
9,"range(0, 1, 2)",1.0,"(100,)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.425475346323815, '24_ahead': 26.072517880741344, '35_ahead': 29.943761220812902, '13_ahead': 19.175231460883484, '2_ahead': 4.7178796521966397}"
10,"range(0, 1, 2)",1.0,"(100,)",0.0005,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 26.693776911943694, '24_ahead': 24.479100232371191, '35_ahead': 26.365036907880413, '13_ahead': 18.824200026073431, '2_ahead': 6.2108054429758734}"
11,"range(0, 1, 2)",1.0,"(100,)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.531398882355717, '24_ahead': 26.299357376884668, '35_ahead': 30.109092793192715, '13_ahead': 19.142615175299628, '2_ahead': 4.8748205591954976}"
12,"range(0, 1, 2)",1.0,"(100,)",0.0001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 27.44832112706365, '24_ahead': 22.719829193706836, '35_ahead': 25.609867893733654, '13_ahead': 18.923280758698372, '2_ahead': 5.8024466707650237}"
13,"range(0, 1, 2)",1.0,"(100,)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.142203727344146, '24_ahead': 26.380574136356561, '35_ahead': 30.063791294676808, '13_ahead': 19.197533737735085, '2_ahead': 4.4614276361678282}"
14,"range(0, 1, 2)",1.0,"(100,)",5e-05,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 26.264186688089325, '24_ahead': 23.913276295420619, '35_ahead': 26.260771926110227, '13_ahead': 18.893637635874825, '2_ahead': 5.7115374821448555}"
15,"range(0, 1, 2)",1.0,"(100,)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.334375171418593, '24_ahead': 26.179053452430129, '35_ahead': 30.036564173895094, '13_ahead': 19.063632424333722, '2_ahead': 4.6274084777570419}"
16,"range(0, 1, 2)",1.0,"(100, 10)",0.001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 25.249205946377973, '24_ahead': 21.838960027323324, '35_ahead': 23.410017444443568, '13_ahead': 18.514439704405511, '2_ahead': 6.4328792956674139}"
17,"range(0, 1, 2)",1.0,"(100, 10)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.259149017267539, '24_ahead': 26.210475000313419, '35_ahead': 30.096661215084904, '13_ahead': 19.125547407961495, '2_ahead': 6.2862262446734025}"
18,"range(0, 1, 2)",1.0,"(100, 10)",0.0005,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 26.6335729523712, '24_ahead': 22.715825102866322, '35_ahead': 25.232207358576158, '13_ahead': 18.321597966216711, '2_ahead': 6.9733838922836568}"
19,"range(0, 1, 2)",1.0,"(100, 10)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.154514805877788, '24_ahead': 26.397552046325977, '35_ahead': 30.176423178948465, '13_ahead': 19.281538224092255, '2_ahead': 4.7555337524293266}"
20,"range(0, 1, 2)",1.0,"(100, 10)",0.0001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 24.719427641098989, '24_ahead': 23.141951823908933, '35_ahead': 29.236031792831007, '13_ahead': 18.156136275126325, '2_ahead': 5.7254531736748238}"
21,"range(0, 1, 2)",1.0,"(100, 10)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.471020113909979, '24_ahead': 26.759891449984138, '35_ahead': 31.155920389581805, '13_ahead': 19.085032575733734, '2_ahead': 4.7674477250190508}"
22,"range(0, 1, 2)",1.0,"(100, 10)",5e-05,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 21.288606355472051, '24_ahead': 21.149059482468186, '35_ahead': 23.090446893113256, '13_ahead': 18.750572965809823, '2_ahead': 7.0281094864176374}"
23,"range(0, 1, 2)",1.0,"(100, 10)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.461719801031286, '24_ahead': 26.275973623461002, '35_ahead': 29.892143938555002, '13_ahead': 19.20027702281482, '2_ahead': 5.0938249403609657}"
24,"range(0, 1, 2)",2.0,"(24,)",0.001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 30.910802498447616, '24_ahead': 25.720467207115611, '35_ahead': 29.14007709389973, '13_ahead': 19.260409769274187, '2_ahead': 6.5680803937696108}"
25,"range(0, 1, 2)",2.0,"(24,)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.342141081661246, '24_ahead': 26.635069475957149, '35_ahead': 30.348864749942532, '13_ahead': 19.424368987052198, '2_ahead': 4.6814708770549611}"
26,"range(0, 1, 2)",2.0,"(24,)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.923919370581601, '24_ahead': 30.294695986589193, '35_ahead': 32.712284177163752, '13_ahead': 26.269519934235344, '2_ahead': 20.969174320001407}"
27,"range(0, 1, 2)",2.0,"(24,)",0.0005,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 29.798674888785481, '24_ahead': 25.451593457564329, '35_ahead': 29.844614505017184, '13_ahead': 19.639444821597685, '2_ahead': 7.1148144707313534}"
28,"range(0, 1, 2)",2.0,"(24,)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.499531840545949, '24_ahead': 26.722280489228751, '35_ahead': 30.332172198923786, '13_ahead': 19.565516158003565, '2_ahead': 4.6506534312143586}"
29,"range(0, 1, 2)",2.0,"(24,)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.659494860589206, '24_ahead': 30.04934117054562, '35_ahead': 32.122023251487541, '13_ahead': 25.885817427027938, '2_ahead': 20.57155750686508}"
30,"range(0, 1, 2)",2.0,"(24,)",0.0001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 30.728841741268187, '24_ahead': 25.714206362022633, '35_ahead': 27.802820464957279, '13_ahead': 19.957505515110338, '2_ahead': 7.9310441661243676}"
