,indices_behind_to_use_range,number_of_nearby_locations_to_use,hidden_layer_sizes,alpha,airlocation_id,nearby_airlocation_ids,prediction_type,error_results
31,"range(0, 1, 2)",2.0,"(24,)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.366494436346706, '24_ahead': 26.855406904154997, '35_ahead': 30.190159669947281, '13_ahead': 19.665577096976364, '2_ahead': 4.7910478651905155}"
32,"range(0, 1, 2)",2.0,"(24,)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.814171013696509, '24_ahead': 30.528102225474882, '35_ahead': 32.466567137951152, '13_ahead': 26.136829815298107, '2_ahead': 20.540450432167727}"
33,"range(0, 1, 2)",2.0,"(24,)",5e-05,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 31.570400567795286, '24_ahead': 25.82014560866811, '35_ahead': 29.425888208559954, '13_ahead': 19.674153749897542, '2_ahead': 6.2102467921769495}"
34,"range(0, 1, 2)",2.0,"(24,)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.286051886212491, '24_ahead': 26.339371155714389, '35_ahead': 29.95255609836132, '13_ahead': 19.344140561665533, '2_ahead': 5.4048891041683822}"
35,"range(0, 1, 2)",2.0,"(24,)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 34.180655867422587, '24_ahead': 30.180160456313555, '35_ahead': 32.592012952772528, '13_ahead': 26.160947624167473, '2_ahead': 20.500447118135202}"
36,"range(0, 1, 2)",2.0,"(100,)",0.001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 25.989661571950254, '24_ahead': 23.662478842881601, '35_ahead': 27.029144488180176, '13_ahead': 18.297300841452206, '2_ahead': 6.3007783039439893}"
37,"range(0, 1, 2)",2.0,"(100,)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.382094123374635, '24_ahead': 26.548150347485546, '35_ahead': 30.231294609216146, '13_ahead': 19.209979005200942, '2_ahead': 4.6638283435067063}"
38,"range(0, 1, 2)",2.0,"(100,)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.597544289217204, '24_ahead': 29.718803807803308, '35_ahead': 32.147146989679477, '13_ahead': 25.837123484680674, '2_ahead': 20.14788299409323}"
39,"range(0, 1, 2)",2.0,"(100,)",0.0005,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 26.135394984420834, '24_ahead': 23.578618751444456, '35_ahead': 25.505539714767419, '13_ahead': 18.821357119915564, '2_ahead': 6.0163698165804398}"
40,"range(0, 1, 2)",2.0,"(100,)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.356899561806998, '24_ahead': 26.40760902473405, '35_ahead': 29.970974721689633, '13_ahead': 19.293326398624565, '2_ahead': 4.5844035853436731}"
41,"range(0, 1, 2)",2.0,"(100,)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.771967798660114, '24_ahead': 29.997899575899925, '35_ahead': 32.346919153240535, '13_ahead': 26.00320971467746, '2_ahead': 20.171870724146299}"
42,"range(0, 1, 2)",2.0,"(100,)",0.0001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 29.170840128368809, '24_ahead': 22.662403463615025, '35_ahead': 24.134909110721367, '13_ahead': 18.354186450697547, '2_ahead': 6.1824337511447292}"
43,"range(0, 1, 2)",2.0,"(100,)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.315815533873852, '24_ahead': 26.412354963870932, '35_ahead': 30.113239372465554, '13_ahead': 19.172569514058601, '2_ahead': 4.5475860450006689}"
44,"range(0, 1, 2)",2.0,"(100,)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.716402949585522, '24_ahead': 30.107312017969022, '35_ahead': 32.305365508989716, '13_ahead': 26.333609005033342, '2_ahead': 20.393082406870494}"
45,"range(0, 1, 2)",2.0,"(100,)",5e-05,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 26.667911157436084, '24_ahead': 22.933858279357761, '35_ahead': 25.941881179640447, '13_ahead': 18.924889859555847, '2_ahead': 5.7168485730123342}"
46,"range(0, 1, 2)",2.0,"(100,)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.155385156981559, '24_ahead': 26.381209968001297, '35_ahead': 30.03321960512611, '13_ahead': 19.271400074993693, '2_ahead': 4.5023490142489164}"
47,"range(0, 1, 2)",2.0,"(100,)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.368286358747234, '24_ahead': 29.792365803621422, '35_ahead': 31.926329439094619, '13_ahead': 25.664651458856223, '2_ahead': 20.192941758554518}"
48,"range(0, 1, 2)",2.0,"(100, 10)",0.001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 23.135062264124976, '24_ahead': 23.483832103891285, '35_ahead': 27.408007220009274, '13_ahead': 18.888507909486254, '2_ahead': 6.0912810957522749}"
49,"range(0, 1, 2)",2.0,"(100, 10)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 31.895466773681243, '24_ahead': 26.840094766300851, '35_ahead': 29.908761890111517, '13_ahead': 19.803687170551989, '2_ahead': 5.2713370289558927}"
50,"range(0, 1, 2)",2.0,"(100, 10)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.560819243885, '24_ahead': 29.631906121654495, '35_ahead': 32.073265070014607, '13_ahead': 25.842992273644288, '2_ahead': 20.687492102549136}"
51,"range(0, 1, 2)",2.0,"(100, 10)",0.0005,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 25.269726999487972, '24_ahead': 24.723752175205025, '35_ahead': 22.612239240348774, '13_ahead': 18.794088398192812, '2_ahead': 6.0404657933016068}"
52,"range(0, 1, 2)",2.0,"(100, 10)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 33.854514326162246, '24_ahead': 27.42212471144472, '35_ahead': 31.473892571386067, '13_ahead': 22.803962931269034, '2_ahead': 10.543027305869488}"
53,"range(0, 1, 2)",2.0,"(100, 10)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.715343019177915, '24_ahead': 30.189107522781189, '35_ahead': 32.062976881436491, '13_ahead': 26.057458210839979, '2_ahead': 20.20394220616808}"
54,"range(0, 1, 2)",2.0,"(100, 10)",0.0001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 24.729738698497393, '24_ahead': 22.97040908432885, '35_ahead': 27.054530266146376, '13_ahead': 23.222757582080742, '2_ahead': 16.383874941182327}"
55,"range(0, 1, 2)",2.0,"(100, 10)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 38.224475823184882, '24_ahead': 38.146397296767631, '35_ahead': 38.172963365366151, '13_ahead': 37.84908985348509, '2_ahead': 38.175018445933979}"
56,"range(0, 1, 2)",2.0,"(100, 10)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.754650671401016, '24_ahead': 30.178428691826461, '35_ahead': 32.108698247776488, '13_ahead': 26.17605937736554, '2_ahead': 20.200075913937393}"
57,"range(0, 1, 2)",2.0,"(100, 10)",5e-05,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 22.185731676441915, '24_ahead': 20.932550237630611, '35_ahead': 23.470366752019086, '13_ahead': 18.015313156247615, '2_ahead': 6.7081276994094994}"
58,"range(0, 1, 2)",2.0,"(100, 10)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.199618299835485, '24_ahead': 26.332085301800301, '35_ahead': 30.173005381314464, '13_ahead': 19.703432565715037, '2_ahead': 5.8712665437930021}"
59,"range(0, 1, 2)",2.0,"(100, 10)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 35.334363103602108, '24_ahead': 28.694671784409856, '35_ahead': 33.271956760594875, '13_ahead': 25.45381293412354, '2_ahead': 25.323982474551666}"
60,"range(0, 1, 2)",3.0,"(24,)",0.001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 30.606376226780949, '24_ahead': 25.646257990632098, '35_ahead': 29.079293158650888, '13_ahead': 20.601832735453883, '2_ahead': 7.3874911261949867}"
61,"range(0, 1, 2)",3.0,"(24,)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.244697520968352, '24_ahead': 26.33705775451045, '35_ahead': 30.032379195875272, '13_ahead': 19.579909049345723, '2_ahead': 6.4787356165956309}"
62,"range(0, 1, 2)",3.0,"(24,)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.711506745447458, '24_ahead': 30.098617860770887, '35_ahead': 32.311077037786447, '13_ahead': 26.35050340006682, '2_ahead': 20.289994914436743}"
63,"range(0, 1, 2)",3.0,"(24,)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_3,"{'46_ahead': 33.612665935610103, '24_ahead': 28.88138228404841, '35_ahead': 31.844646850331809, '13_ahead': 24.117514270888318, '2_ahead': 17.119453863436966}"
64,"range(0, 1, 2)",3.0,"(24,)",0.0005,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 30.083499193108288, '24_ahead': 25.96115257553739, '35_ahead': 28.986224291765524, '13_ahead': 19.341908654378152, '2_ahead': 5.8959488129338968}"
65,"range(0, 1, 2)",3.0,"(24,)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.311162865192266, '24_ahead': 26.390177651214803, '35_ahead': 30.45222042700215, '13_ahead': 19.301412690786517, '2_ahead': 5.7305850163076659}"
66,"range(0, 1, 2)",3.0,"(24,)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.718688995143722, '24_ahead': 29.894070082531872, '35_ahead': 32.244779264517476, '13_ahead': 26.067143595633226, '2_ahead': 20.490624489170905}"
67,"range(0, 1, 2)",3.0,"(24,)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_3,"{'46_ahead': 33.42626183990258, '24_ahead': 28.743457112706601, '35_ahead': 31.667121368918352, '13_ahead': 24.610294710299442, '2_ahead': 16.958591943101919}"
68,"range(0, 1, 2)",3.0,"(24,)",0.0001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 31.42139198598429, '24_ahead': 25.017829354670138, '35_ahead': 28.967367250029199, '13_ahead': 19.419954080040686, '2_ahead': 5.4885735396611377}"
69,"range(0, 1, 2)",3.0,"(24,)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.35043838697225, '24_ahead': 26.369667848596087, '35_ahead': 30.160819623358837, '13_ahead': 19.408270448437758, '2_ahead': 5.2791112054243472}"
70,"range(0, 1, 2)",3.0,"(24,)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 34.083631786940991, '24_ahead': 30.787206629053955, '35_ahead': 32.455386800053219, '13_ahead': 26.758073726761602, '2_ahead': 20.78225789201198}"
71,"range(0, 1, 2)",3.0,"(24,)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_3,"{'46_ahead': 33.438177642761715, '24_ahead': 28.857926426587404, '35_ahead': 31.728045425850738, '13_ahead': 24.14181090019046, '2_ahead': 17.243811858342028}"
72,"range(0, 1, 2)",3.0,"(24,)",5e-05,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 30.201127735783132, '24_ahead': 25.901774748976941, '35_ahead': 28.698028311635152, '13_ahead': 19.683657188125501, '2_ahead': 7.0150719030909539}"
73,"range(0, 1, 2)",3.0,"(24,)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.280187318406945, '24_ahead': 26.264550221241155, '35_ahead': 30.056481211511535, '13_ahead': 19.186701297310361, '2_ahead': 4.5436580269537519}"
74,"range(0, 1, 2)",3.0,"(24,)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.833513035941493, '24_ahead': 30.19423438036463, '35_ahead': 32.313236662409167, '13_ahead': 26.198503420684521, '2_ahead': 21.271296776595406}"
75,"range(0, 1, 2)",3.0,"(24,)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_3,"{'46_ahead': 33.446184511325271, '24_ahead': 29.260739538219255, '35_ahead': 31.914754111597425, '13_ahead': 24.375893805914878, '2_ahead': 17.202983388596596}"
76,"range(0, 1, 2)",3.0,"(100,)",0.001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 26.061276860824425, '24_ahead': 23.171862391016298, '35_ahead': 25.339372280779234, '13_ahead': 18.476622467942722, '2_ahead': 6.7905022947411}"
77,"range(0, 1, 2)",3.0,"(100,)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.20819607188804, '24_ahead': 26.201365369365231, '35_ahead': 30.017709050403766, '13_ahead': 19.255997286172416, '2_ahead': 4.6644109868386527}"
78,"range(0, 1, 2)",3.0,"(100,)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.837052651444921, '24_ahead': 29.952935530697687, '35_ahead': 32.321662851971894, '13_ahead': 25.794702270835987, '2_ahead': 20.12205288042766}"
79,"range(0, 1, 2)",3.0,"(100,)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_3,"{'46_ahead': 33.628468219083643, '24_ahead': 29.154478042968755, '35_ahead': 31.866491265601635, '13_ahead': 24.310436102129302, '2_ahead': 16.873977718485687}"
80,"range(0, 1, 2)",3.0,"(100,)",0.0005,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 27.741238639512982, '24_ahead': 24.255630707775854, '35_ahead': 27.005942768634021, '13_ahead': 19.152582010758461, '2_ahead': 6.0192842123251751}"
81,"range(0, 1, 2)",3.0,"(100,)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.449222756414784, '24_ahead': 26.427304085997534, '35_ahead': 30.160511885069926, '13_ahead': 19.30123493546596, '2_ahead': 4.554008042216573}"
82,"range(0, 1, 2)",3.0,"(100,)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.9075638260815, '24_ahead': 30.371588943652501, '35_ahead': 32.756524193562086, '13_ahead': 26.223577135317353, '2_ahead': 20.458292093917812}"
83,"range(0, 1, 2)",3.0,"(100,)",0.0005,967.0,"[967, 604, 18, 511, 22]",first_step_loc_3,"{'46_ahead': 33.595405741672629, '24_ahead': 28.988644580719725, '35_ahead': 31.756033965492524, '13_ahead': 24.063824705216565, '2_ahead': 16.808905132758102}"
84,"range(0, 1, 2)",3.0,"(100,)",0.0001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 29.318456380861413, '24_ahead': 23.426776030284582, '35_ahead': 25.066342018003677, '13_ahead': 18.605529771117229, '2_ahead': 5.6692791636522974}"
85,"range(0, 1, 2)",3.0,"(100,)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.182379511887206, '24_ahead': 26.229393763269631, '35_ahead': 29.967125898625522, '13_ahead': 19.166194185857861, '2_ahead': 4.7040724510887078}"
86,"range(0, 1, 2)",3.0,"(100,)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.961880347209188, '24_ahead': 29.859924411041693, '35_ahead': 32.384881140109201, '13_ahead': 26.05781685136543, '2_ahead': 20.290332532113059}"
87,"range(0, 1, 2)",3.0,"(100,)",0.0001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_3,"{'46_ahead': 33.58890657052865, '24_ahead': 29.069134652517121, '35_ahead': 31.779216268314578, '13_ahead': 24.26922842967458, '2_ahead': 16.854523170026884}"
88,"range(0, 1, 2)",3.0,"(100,)",5e-05,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 25.14777554246427, '24_ahead': 22.859852883704615, '35_ahead': 24.188274549379706, '13_ahead': 18.088051916614877, '2_ahead': 5.9174086942865731}"
89,"range(0, 1, 2)",3.0,"(100,)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.239667611917213, '24_ahead': 26.433939310078316, '35_ahead': 30.168087652693472, '13_ahead': 19.431849018556413, '2_ahead': 4.6876456926407624}"
90,"range(0, 1, 2)",3.0,"(100,)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.766722500397826, '24_ahead': 29.976765713997402, '35_ahead': 32.400744398461924, '13_ahead': 26.109994023712225, '2_ahead': 20.426766995809746}"
91,"range(0, 1, 2)",3.0,"(100,)",5e-05,967.0,"[967, 604, 18, 511, 22]",first_step_loc_3,"{'46_ahead': 33.54468567352702, '24_ahead': 29.007082663304868, '35_ahead': 31.925786745898897, '13_ahead': 24.266735016983954, '2_ahead': 16.931685030696173}"
92,"range(0, 1, 2)",3.0,"(100, 10)",0.001,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 23.557873509962651, '24_ahead': 22.05001128765684, '35_ahead': 23.341427735298208, '13_ahead': 17.814913220012063, '2_ahead': 6.4802211388772815}"
93,"range(0, 1, 2)",3.0,"(100, 10)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_1,"{'46_ahead': 32.636201937218708, '24_ahead': 26.310724484135314, '35_ahead': 30.394480984775306, '13_ahead': 19.466684001873197, '2_ahead': 4.6768192156023201}"
94,"range(0, 1, 2)",3.0,"(100, 10)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_2,"{'46_ahead': 33.596500651733905, '24_ahead': 29.833425121914654, '35_ahead': 32.361736005187169, '13_ahead': 25.468181256097139, '2_ahead': 20.269853771341531}"
95,"range(0, 1, 2)",3.0,"(100, 10)",0.001,967.0,"[967, 604, 18, 511, 22]",first_step_loc_3,"{'46_ahead': 33.489059041426543, '24_ahead': 29.509835908048561, '35_ahead': 30.885540055385306, '13_ahead': 23.745862940327044, '2_ahead': 17.889250746844592}"
96,"range(0, 1, 2)",3.0,"(100, 10)",0.0005,967.0,"[967, 604, 18, 511, 22]",final,"{'46_ahead': 22.820046390977989, '24_ahead': 21.834356453584235, '35_ahead': 23.227051294827731, '13_ahead': 18.39765679603471, '2_ahead': 5.9742766892526227}"
