,indices_behind_to_use_range,number_of_nearby_locations_to_use,hidden_layer_sizes,alpha,airlocation_id,nearby_airlocation_ids,prediction_type,error_results
0,"range(0, 1, 2)",1.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 17.24916359373535, '24_ahead': 22.925271920322711, '35_ahead': 25.354653152896407, '2_ahead': 8.2324647340834094, '46_ahead': 27.931777113637501}"
1,"range(0, 1, 2)",1.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.624611805531121, '24_ahead': 22.860409101820274, '35_ahead': 27.181019488721184, '2_ahead': 6.5368460855262427, '46_ahead': 31.047248432417582}"
2,"range(0, 1, 2)",1.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.507362325496832, '24_ahead': 21.607064915311476, '35_ahead': 25.283355484223357, '2_ahead': 7.9811576287140653, '46_ahead': 29.2455440050086}"
3,"range(0, 1, 2)",1.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.535702645173725, '24_ahead': 22.92763460728089, '35_ahead': 27.470029513634234, '2_ahead': 4.6364526464783857, '46_ahead': 30.84567450281434}"
4,"range(0, 1, 2)",1.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.080024609437796, '24_ahead': 21.17032293666891, '35_ahead': 25.793490975857676, '2_ahead': 7.057229802443775, '46_ahead': 28.181368409188501}"
5,"range(0, 1, 2)",1.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.274845278044211, '24_ahead': 23.17938410187341, '35_ahead': 27.843768051308537, '2_ahead': 3.9690771897111223, '46_ahead': 31.250070702709031}"
6,"range(0, 1, 2)",1.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 17.025098607231904, '24_ahead': 21.29300071472068, '35_ahead': 25.313977503140794, '2_ahead': 5.5927580900143985, '46_ahead': 29.231670094239131}"
7,"range(0, 1, 2)",1.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.586920154247963, '24_ahead': 23.351604434234666, '35_ahead': 27.922357086738963, '2_ahead': 3.977523586914653, '46_ahead': 31.07513398994336}"
8,"range(0, 1, 2)",1.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.776098056978142, '24_ahead': 20.704500083099092, '35_ahead': 21.343563293099972, '2_ahead': 5.5425610486445214, '46_ahead': 23.831157465338826}"
9,"range(0, 1, 2)",1.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.444505477954142, '24_ahead': 22.841508535593118, '35_ahead': 27.413553755616459, '2_ahead': 3.7839045152670718, '46_ahead': 30.684523252488002}"
10,"range(0, 1, 2)",1.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.424910743544151, '24_ahead': 20.300439339176027, '35_ahead': 23.104669094340164, '2_ahead': 5.2584824438758861, '46_ahead': 24.069834917118612}"
11,"range(0, 1, 2)",1.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.700141234649109, '24_ahead': 23.115842316299375, '35_ahead': 27.771196878773857, '2_ahead': 3.7593122326866881, '46_ahead': 31.198386303696349}"
12,"range(0, 1, 2)",1.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.754850498488841, '24_ahead': 21.332901441087351, '35_ahead': 23.126917365377313, '2_ahead': 5.2044516937598493, '46_ahead': 25.605009632950466}"
13,"range(0, 1, 2)",1.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.328155240676214, '24_ahead': 22.815336524307551, '35_ahead': 27.384049030626439, '2_ahead': 3.7315666942670243, '46_ahead': 30.77350569543761}"
14,"range(0, 1, 2)",1.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.479029254253287, '24_ahead': 20.108373084585413, '35_ahead': 21.711147832229447, '2_ahead': 5.8613222487043224, '46_ahead': 25.76265411209674}"
15,"range(0, 1, 2)",1.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.485459489307875, '24_ahead': 23.070516792259447, '35_ahead': 27.717123914525647, '2_ahead': 3.868803076458569, '46_ahead': 31.040144373055607}"
16,"range(0, 1, 2)",1.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.000990034264269, '24_ahead': 19.730117694233147, '35_ahead': 23.438877375848811, '2_ahead': 5.898418392048943, '46_ahead': 24.755265985242069}"
17,"range(0, 1, 2)",1.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.934616645534192, '24_ahead': 24.688039965930827, '35_ahead': 28.550029676238285, '2_ahead': 6.1827740142169008, '46_ahead': 31.065797728925912}"
18,"range(0, 1, 2)",1.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.200001434626461, '24_ahead': 20.49566939679114, '35_ahead': 20.170456552164751, '2_ahead': 5.2005063360062582, '46_ahead': 20.049171511321472}"
19,"range(0, 1, 2)",1.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.037560716366137, '24_ahead': 23.134115021568551, '35_ahead': 27.543985196901644, '2_ahead': 4.9595182790575914, '46_ahead': 31.010720776156482}"
20,"range(0, 1, 2)",1.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 22.491992208810572, '24_ahead': 20.169022683771615, '35_ahead': 22.615281414438506, '2_ahead': 25.162092367648338, '46_ahead': 20.296492952134678}"
21,"range(0, 1, 2)",1.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 40.951645059593538, '24_ahead': 40.988292188330433, '35_ahead': 41.064018924849847, '2_ahead': 40.939797209098451, '46_ahead': 41.29315726811447}"
22,"range(0, 1, 2)",1.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.846999678462712, '24_ahead': 21.02549732345673, '35_ahead': 19.650383959041235, '2_ahead': 5.1113774247262365, '46_ahead': 24.162091114698367}"
23,"range(0, 1, 2)",1.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 25.079442328029071, '24_ahead': 23.693222307615017, '35_ahead': 27.326370560850446, '2_ahead': 4.1939734018121646, '46_ahead': 32.060340253509729}"
24,"range(0, 1, 2)",2.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.038091690483558, '24_ahead': 21.820833958013928, '35_ahead': 25.637646918592448, '2_ahead': 5.5456789806512052, '46_ahead': 26.763499809452462}"
25,"range(0, 1, 2)",2.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.523295309318009, '24_ahead': 23.103765936296135, '35_ahead': 27.490619022937242, '2_ahead': 3.8482242779501425, '46_ahead': 30.759910336242932}"
26,"range(0, 1, 2)",2.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.845853337019843, '24_ahead': 24.15350108114022, '35_ahead': 27.923738792990864, '2_ahead': 14.654324066344529, '46_ahead': 30.62985721468069}"
27,"range(0, 1, 2)",2.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.46431166013226, '24_ahead': 21.04163353772983, '35_ahead': 25.025496646585051, '2_ahead': 7.8041897151415496, '46_ahead': 26.622820627502513}"
28,"range(0, 1, 2)",2.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.91833869109125, '24_ahead': 23.070640600345278, '35_ahead': 27.646555722087264, '2_ahead': 4.4751780358613029, '46_ahead': 30.984466609680304}"
29,"range(0, 1, 2)",2.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.977915969602702, '24_ahead': 24.215849401523375, '35_ahead': 28.073653762289883, '2_ahead': 14.63478126734508, '46_ahead': 30.741034909497202}"
30,"range(0, 1, 2)",2.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.605927585197815, '24_ahead': 22.020845142264548, '35_ahead': 26.590753395472774, '2_ahead': 10.026142822157857, '46_ahead': 27.548859933495766}"
31,"range(0, 1, 2)",2.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.487168864852666, '24_ahead': 22.856489737907495, '35_ahead': 27.428697227698585, '2_ahead': 3.8119860544490072, '46_ahead': 30.851811493576538}"
32,"range(0, 1, 2)",2.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.968464397176586, '24_ahead': 24.064964298347988, '35_ahead': 27.602464222755746, '2_ahead': 14.799298185342115, '46_ahead': 30.707320452078307}"
33,"range(0, 1, 2)",2.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.238372058639793, '24_ahead': 20.951019919080409, '35_ahead': 24.241782563165316, '2_ahead': 6.5473121103758212, '46_ahead': 27.938117647802848}"
34,"range(0, 1, 2)",2.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.703885878749524, '24_ahead': 23.162160394296929, '35_ahead': 27.891590118115765, '2_ahead': 4.0326530421325559, '46_ahead': 30.983044234346295}"
35,"range(0, 1, 2)",2.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.067089815061259, '24_ahead': 24.695421691752909, '35_ahead': 27.889030533605084, '2_ahead': 14.72702727910548, '46_ahead': 30.959747030052135}"
36,"range(0, 1, 2)",2.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.25037684436313, '24_ahead': 19.329196020475294, '35_ahead': 21.068265382429235, '2_ahead': 5.7689382465428158, '46_ahead': 24.946558935943766}"
37,"range(0, 1, 2)",2.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.457821140173504, '24_ahead': 23.09466379055306, '35_ahead': 27.763830800312576, '2_ahead': 3.7564815455718858, '46_ahead': 30.871147815944706}"
38,"range(0, 1, 2)",2.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.891763696620959, '24_ahead': 24.125171080724016, '35_ahead': 27.675376706075337, '2_ahead': 14.632122804312548, '46_ahead': 30.373304716136087}"
39,"range(0, 1, 2)",2.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.33092602908661, '24_ahead': 19.766292083491301, '35_ahead': 21.984453267530018, '2_ahead': 5.3554785185895968, '46_ahead': 23.288972869360695}"
40,"range(0, 1, 2)",2.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.634858014082372, '24_ahead': 23.068478232310564, '35_ahead': 27.543109095919338, '2_ahead': 3.8045921826761315, '46_ahead': 30.879965388078041}"
41,"range(0, 1, 2)",2.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.875036355190456, '24_ahead': 23.96433665058786, '35_ahead': 27.721903132875802, '2_ahead': 14.61525404698417, '46_ahead': 30.308797301458426}"
42,"range(0, 1, 2)",2.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 14.645634103156695, '24_ahead': 19.116358503951766, '35_ahead': 22.881703333130279, '2_ahead': 5.6176953891146919, '46_ahead': 23.353849697554455}"
43,"range(0, 1, 2)",2.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.646386366001547, '24_ahead': 23.178356244655284, '35_ahead': 28.023981956817352, '2_ahead': 3.8269119880730713, '46_ahead': 30.924342469810792}"
44,"range(0, 1, 2)",2.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.799298490248081, '24_ahead': 24.105062918856767, '35_ahead': 27.742124610844744, '2_ahead': 14.604658846064956, '46_ahead': 30.478085476477922}"
45,"range(0, 1, 2)",2.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 14.797292359924814, '24_ahead': 20.119021851785295, '35_ahead': 22.854196175957632, '2_ahead': 5.958445872628948, '46_ahead': 25.097154207345035}"
46,"range(0, 1, 2)",2.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.313636465472694, '24_ahead': 23.030777173382333, '35_ahead': 27.43223926389561, '2_ahead': 3.7053461818947082, '46_ahead': 30.884961135002637}"
47,"range(0, 1, 2)",2.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.985700651391724, '24_ahead': 24.259648487422236, '35_ahead': 28.098686995880183, '2_ahead': 14.606645614649965, '46_ahead': 30.531392874152939}"
48,"range(0, 1, 2)",2.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 14.646335664251815, '24_ahead': 17.508297598118418, '35_ahead': 23.016336977445633, '2_ahead': 5.8080367577127126, '46_ahead': 21.97679400607813}"
49,"range(0, 1, 2)",2.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.552180704922527, '24_ahead': 23.163249375137379, '35_ahead': 27.688464615146657, '2_ahead': 4.0522790893101481, '46_ahead': 30.84988131533877}"
50,"range(0, 1, 2)",2.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.148471238451371, '24_ahead': 24.481457150232952, '35_ahead': 28.494241622178436, '2_ahead': 15.14760916514493, '46_ahead': 30.879531295105441}"
51,"range(0, 1, 2)",2.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.786106029189927, '24_ahead': 19.947483775714016, '35_ahead': 19.722747796068308, '2_ahead': 5.4512301124683633, '46_ahead': 20.193245673361076}"
52,"range(0, 1, 2)",2.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.408753752324564, '24_ahead': 24.340405997474555, '35_ahead': 28.104436868046882, '2_ahead': 4.2084012322069713, '46_ahead': 30.962627157101981}"
53,"range(0, 1, 2)",2.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 21.928757385550522, '24_ahead': 25.241390608514848, '35_ahead': 34.823971306962882, '2_ahead': 19.268947205510312, '46_ahead': 30.388841713203981}"
54,"range(0, 1, 2)",2.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 14.724795860393037, '24_ahead': 20.385095785496645, '35_ahead': 22.617479883131207, '2_ahead': 5.6052326131430599, '46_ahead': 19.237255035855245}"
55,"range(0, 1, 2)",2.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.879521462767428, '24_ahead': 22.893529856998644, '35_ahead': 28.595134969436547, '2_ahead': 4.0460788782969708, '46_ahead': 30.931993727615215}"
56,"range(0, 1, 2)",2.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.645798762164812, '24_ahead': 24.217809615443983, '35_ahead': 27.979703413608174, '2_ahead': 14.701054184878027, '46_ahead': 30.917727099453593}"
57,"range(0, 1, 2)",2.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 14.909560864039666, '24_ahead': 19.09945944183476, '35_ahead': 20.818006933182691, '2_ahead': 5.5014914134188171, '46_ahead': 19.485783430148189}"
58,"range(0, 1, 2)",2.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.580377677168364, '24_ahead': 22.992307652164374, '35_ahead': 27.514285366172686, '2_ahead': 3.9707334782517103, '46_ahead': 30.797858121781186}"
59,"range(0, 1, 2)",2.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.020679709031484, '24_ahead': 23.97207941661916, '35_ahead': 27.343654285700786, '2_ahead': 14.757307412959735, '46_ahead': 30.457000864142486}"
60,"range(0, 1, 2)",3.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.563520112784753, '24_ahead': 21.589289196909345, '35_ahead': 24.983249787352545, '2_ahead': 5.9575424824950911, '46_ahead': 27.907564919805072}"
61,"range(0, 1, 2)",3.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.572893445823034, '24_ahead': 23.170656323457894, '35_ahead': 27.943782542814912, '2_ahead': 3.9475588398238153, '46_ahead': 31.039440813084326}"
62,"range(0, 1, 2)",3.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 21.230343581748752, '24_ahead': 24.063623678844234, '35_ahead': 27.661884687619104, '2_ahead': 14.884984425199102, '46_ahead': 30.718634256061563}"
63,"range(0, 1, 2)",3.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 22.718718413596587, '24_ahead': 26.70496072982802, '35_ahead': 29.971402485513575, '2_ahead': 18.611954027839445, '46_ahead': 32.600479461146335}"
64,"range(0, 1, 2)",3.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.687262040233962, '24_ahead': 20.777739486903137, '35_ahead': 25.087325641530281, '2_ahead': 7.8492444102749213, '46_ahead': 26.905387988479525}"
65,"range(0, 1, 2)",3.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.459480753548586, '24_ahead': 23.148466384771663, '35_ahead': 27.547954378412918, '2_ahead': 5.5379912187185107, '46_ahead': 30.873081813726433}"
66,"range(0, 1, 2)",3.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 20.273207616104656, '24_ahead': 23.96974253486022, '35_ahead': 27.97559615594658, '2_ahead': 14.793500508019738, '46_ahead': 30.64094701295344}"
67,"range(0, 1, 2)",3.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 22.638879014734325, '24_ahead': 26.967394608126842, '35_ahead': 30.179617832438513, '2_ahead': 19.575665994857196, '46_ahead': 32.742635636259322}"
68,"range(0, 1, 2)",3.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.47187620357488, '24_ahead': 21.967178873395596, '35_ahead': 25.049361250280405, '2_ahead': 5.9607226071967396, '46_ahead': 28.401901017859583}"
69,"range(0, 1, 2)",3.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.43510271572389, '24_ahead': 23.02675295498247, '35_ahead': 27.512659800560755, '2_ahead': 3.9518344751703269, '46_ahead': 31.445087336978986}"
70,"range(0, 1, 2)",3.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.047040866552948, '24_ahead': 24.209786723574656, '35_ahead': 27.731504556898962, '2_ahead': 14.799188376138176, '46_ahead': 31.214768950472635}"
71,"range(0, 1, 2)",3.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 23.350815478839756, '24_ahead': 26.934476581351991, '35_ahead': 30.377352026394735, '2_ahead': 19.688234083330514, '46_ahead': 33.403933070367536}"
72,"range(0, 1, 2)",3.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 18.06873620871804, '24_ahead': 21.951239985553748, '35_ahead': 26.02138194175749, '2_ahead': 6.8160381769289247, '46_ahead': 27.258903474431271}"
73,"range(0, 1, 2)",3.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.028287677937652, '24_ahead': 23.059112620739963, '35_ahead': 28.036036446826813, '2_ahead': 3.6956861009985476, '46_ahead': 30.96619830386755}"
74,"range(0, 1, 2)",3.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.977320066285667, '24_ahead': 24.097017208896315, '35_ahead': 27.805306802894311, '2_ahead': 14.757496819694728, '46_ahead': 30.749025959198615}"
75,"range(0, 1, 2)",3.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 22.720049417030264, '24_ahead': 26.849794671375108, '35_ahead': 30.048848510395171, '2_ahead': 18.718516477287739, '46_ahead': 32.299115404646741}"
76,"range(0, 1, 2)",3.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.39848008103777, '24_ahead': 19.193732637396113, '35_ahead': 22.149253991494469, '2_ahead': 5.4720347844616599, '46_ahead': 23.370068505073412}"
77,"range(0, 1, 2)",3.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.456574591972242, '24_ahead': 23.345927994091802, '35_ahead': 27.867149010376053, '2_ahead': 3.8515520501284328, '46_ahead': 31.002639261237778}"
78,"range(0, 1, 2)",3.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.929797252905214, '24_ahead': 23.97876634515594, '35_ahead': 27.783027317668591, '2_ahead': 14.620805941994805, '46_ahead': 30.368177537866398}"
79,"range(0, 1, 2)",3.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 22.772924358554775, '24_ahead': 26.839192295034209, '35_ahead': 30.148033465412901, '2_ahead': 18.941721771487714, '46_ahead': 32.528871933563536}"
80,"range(0, 1, 2)",3.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 14.733823040880017, '24_ahead': 19.702986114324496, '35_ahead': 22.245475144573092, '2_ahead': 6.5898284133183376, '46_ahead': 24.799232509365392}"
81,"range(0, 1, 2)",3.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.58598647614307, '24_ahead': 23.091823928868941, '35_ahead': 27.924179592612479, '2_ahead': 3.8437255215085271, '46_ahead': 30.971906458554592}"
82,"range(0, 1, 2)",3.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.076464263357849, '24_ahead': 24.238045860320252, '35_ahead': 27.978542848934215, '2_ahead': 14.598389814558042, '46_ahead': 30.680343215477027}"
83,"range(0, 1, 2)",3.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 22.859866569089665, '24_ahead': 26.907880589430341, '35_ahead': 29.955777425503587, '2_ahead': 18.927774499332507, '46_ahead': 32.340368318848704}"
84,"range(0, 1, 2)",3.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.427885887750616, '24_ahead': 19.890429756754997, '35_ahead': 21.611675304494309, '2_ahead': 5.4812438746136376, '46_ahead': 22.968818118963398}"
85,"range(0, 1, 2)",3.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.727238172537941, '24_ahead': 23.013566070784588, '35_ahead': 27.571888761160427, '2_ahead': 4.0092910030113895, '46_ahead': 30.947173706140081}"
86,"range(0, 1, 2)",3.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.985899043766754, '24_ahead': 24.032589169001483, '35_ahead': 27.742242839339287, '2_ahead': 14.624475949079351, '46_ahead': 30.618807905836505}"
87,"range(0, 1, 2)",3.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 22.758472025641119, '24_ahead': 26.681051928122759, '35_ahead': 29.954483250018487, '2_ahead': 18.725242410186187, '46_ahead': 32.442114517711858}"
88,"range(0, 1, 2)",3.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 14.647100986518558, '24_ahead': 19.560698998490775, '35_ahead': 21.034780088065222, '2_ahead': 5.6534970855598807, '46_ahead': 24.357362701055656}"
89,"range(0, 1, 2)",3.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.527365244707902, '24_ahead': 23.106715516853207, '35_ahead': 27.764536867315812, '2_ahead': 4.0789668424620142, '46_ahead': 30.792606285560488}"
90,"range(0, 1, 2)",3.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.929675592953256, '24_ahead': 24.04462573657878, '35_ahead': 27.753508525383687, '2_ahead': 14.67884029618185, '46_ahead': 30.513080795556757}"
91,"range(0, 1, 2)",3.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 22.903252564321335, '24_ahead': 26.95749754443457, '35_ahead': 30.241512620588725, '2_ahead': 19.079643483407317, '46_ahead': 32.659423804178672}"
92,"range(0, 1, 2)",3.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 14.936263999092827, '24_ahead': 18.12395287609818, '35_ahead': 22.907117696664535, '2_ahead': 5.4301208765386946, '46_ahead': 20.793658233294504}"
93,"range(0, 1, 2)",3.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.330636492778869, '24_ahead': 23.580896468959992, '35_ahead': 27.606976401861672, '2_ahead': 4.2274473947792668, '46_ahead': 31.241898095816477}"
94,"range(0, 1, 2)",3.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.091618779885728, '24_ahead': 24.254840430858017, '35_ahead': 27.985543620610056, '2_ahead': 14.662019889724217, '46_ahead': 30.643946470552944}"
95,"range(0, 1, 2)",3.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 40.957717320675656, '24_ahead': 40.989167697871117, '35_ahead': 41.053444888626174, '2_ahead': 40.962073803284689, '46_ahead': 41.283137012872956}"
96,"range(0, 1, 2)",3.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.850400540744484, '24_ahead': 18.961515624065719, '35_ahead': 20.887784192569701, '2_ahead': 11.677458405397603, '46_ahead': 20.076570601058879}"
97,"range(0, 1, 2)",3.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 40.961831308611551, '24_ahead': 40.993672810171233, '35_ahead': 41.081402642262532, '2_ahead': 40.945954073640529, '46_ahead': 41.298692575809014}"
